cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS
1,1816,대구광역시 중구 삼덕동2가 149-6,한식,장모님국밥,053-425-9347,09:00 ~ 21:00,40석(룸1),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"[저염메뉴] 순대국밥 9,000원 <br />돼지국밥 9,000원<br />섞어국밥 9,000원<br />수육 25,000원 ~ 30,000원 <br />순대한접시 12,000원",장모님국밥은 대구에서 유일한 특별한 돼지국밥을 제공하는 전문점입니다.,지하철 2호선 경대병원역 1번 출구에서 도보로 약 123m 거리.,버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.
2,1810,대구광역시 중구 동인동4가 4,한식,춘천옥,053-422-3333,09:00 ~ 19:30,40석(룸1),없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"곰탕/양곰탕 11,000원<br />냉면 9,000원<br />갈비탕 11,000원 <br />막국수 9,000원<br />소갈비찜 30,000원 ~ 70,000원","춘천옥 은 곰탕, 양곰탕, 냉면, 갈비탕 등 다양한 국물과 면 요리를 맛볼 수 있는 한식당입니다.",지하철 1호선 칠성시장역 3번 출구에서 도보로 약 862m 거리.,버스 정류장은 중구청앞 정류장이 가장 가깝습니다.
3,1807,대구광역시 중구 대봉동 17-10,한식,청해회수산,053-422-6921,16:00 ~ 00:00,30석,없음,없음,영어 ,불가,불가능,불가능,불가능,"모듬회 25,000원 ~ 55,000원<br />세꼬시 33,000원 ~ 65,000원 <br />모듬회 35,000원 ~ 65,000원<br />모듬해산물 38,000원 <br />회물회 10,000원",청해회수산 은 매일 산지 직송 받는 맛있고 신선한 회를 합리적인 가격에 푸짐하게 드실 수 있는 회.해산물.세꼬시 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 397m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
4,1806,대구광역시 중구 삼덕동3가 284,특별한 술집,유랑,053-253-0660,18:00 ~ 02:00,20석,없음,app.catchtable.co.kr/ct/shop/cave_urang?from=share,영어 일본어 중국어 ,가능,불가능,불가능,불가능,"네츄럴 스테이크 28,000원<br />일그라파 파스타 17,000원<br />블랙머쉬룸 보리 리조또 17,000원<br />세세리소유야키 17,000원 <br />갈릭새우바질 21,000원",삼덕동에 위치한  까브유랑 은 가성비 좋은 와인이 많은 분위기 좋은 와인바입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 454m 거리.,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.
5,1805,대구광역시 중구 동인동3가 220-3,특별한 술집,와리바시,053-422-3888,18:00 ~ 02:00,10석,없음,app.catchtable.co.kr/ct/shop/waribasibar,영어 ,가능,불가능,불가능,불가능,"닭육수오뎅탕 23,000원 <br />오코노미야키 16,000원 <br />철판야키소바 15,000원<br />명란김말이튀김 14,000원 <br />야키토리 13,000원",동인동 작은 골목 안에 위치한 와리바시 는 일식 요리와 사케를 즐길 수 있는 공간입니다.,주변에 가까운 지하철역이 없습니다.,버스 정류장은 동인초등학교건너 정류장이 가장 가깝습니다.
6,1793,대구광역시 중구 봉산동 37-33,양식,조밀,070-8888-0505,11:30 ~ 21:30,30석,없음,instagram.com/_jomeal,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"조밀 스테이크 26,000원<br />마늘쫑파스타 12,000원<br />새우바질리조또 13,000원<br />마늘 퓨레 파스타 12,000원","조밀 은 스테이크, 파스타, 리조또를 판매하는 양식당으로 다른 양식당에서 보실 수 없는 특별한 조밀만의 메뉴를 즐기실 수 있습니다.","지하철 1,2호선 반월당역 11번 출구에서 도보로 약 12m 거리",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
7,1792,대구광역시 중구 공평동 1-5,양식,로니스도우,010-****-6176,12:00 ~ 24:00,49석,없음,www.instagram.com/ronnies_dough,가능한 외국어가 없습니다.,평일 가능,불가능,불가능,불가능,"half&amp;half 19,000원 ~ 26,000원<br />페퍼로니 19,000원 ~ 26,000원<br />하와이안 19,000원 ~ 26,000원<br />핫치킨 19,000원 ~ 26,000원",로니스도우 는 오리지날 피자를 맛볼 수 있는 피자 전문점입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 461m 거리.,버스 정류장은 2.28기념중앙공원건너2 정류장이 가장 가깝습니다.
8,1791,대구광역시 중구 동문동 4-9,세계요리,야자수지붕,053-256-3723,11:30 ~ 21:00,24석,없음,www.facebook.com/profile.php?id=100034170044014,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"꿍팟퐁커리 16,000원<br />소고기 쌀국수 10,000원<br />팟타이 10,000원 <br />시리얼 새우 16,000원<br />그린커리 10,500원","야자수지붕 은 태국 왕실에서 인증한 요리 학교에서 교육 과정을 정식으로 수료 하였으며, 베트남 하노이 현지 유명 레스토랑과 파트너쉽을 체결 현지의 맛을 재현해 내는데 중점을 두고 있는 태국, 베트남 음식 전문점입니다.",지하철 1호선 중앙로역 3번 출구에서 도보로 약 533m 거리.,버스 정류장은 대구시동인청사건너 정류장이 가장 가깝습니다.
9,1790,대구광역시 중구 대안동 22,양식,노세콘도(Nosecondo),010-****-6451,12:00 ~ 21:00,26석,10대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"크림 파빠르델레 파스타 21,000원<br />단호박 뇨끼 25,000원<br />멜란자네 12,000원 <br />해산물 링귀니 23,000원 <br />부라타 치즈 15,000원","노세콘도(Nosecondo) 는 생면으로 만든 파스타를 만나볼 수 있는 스파게티, 파스타 전문점입니다.",지하철 1호선 중앙로역 3번 출구에서 도보로 약 386m,버스 정류장은 대구콘서트하우스건너 정류장이 가장 가깝습니다.
10,1789,대구광역시 중구 동인동4가 176-1,전통차/커피전문점,카페로건,053-216-1674,"07:30 ~ 17:00 (토,공휴일 08:30 ~ 17:00)",10석,인근공영주차장이용,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"로건 라떼 4,500원<br />아메리카노 3,500원<br />자두에이드 4,500원",카페로건 은 품질 좋은 원두만 사용한 커피와 디저트가 맛있는 카페입니다.,지하철 2호선 경대병원역 4번 출구 도보로 약 896m 거리.,버스 정류장은 중구청건너 정류장이 가장 가깝습니다.
11,1788,대구광역시 중구 남성로 111,전통차/커피전문점,리시트2,010-****-5505,평일 09:00 ~ 21:00 (주말 11:00 ~ 21:00),28석,1대,없음,영어 ,가능,불가능,불가능,불가능,"리시트커피 4,500원<br />크로와상 샌드위치 7,200원<br />카페라떼 4,000원 <br />그린애플 티에이드 5.500원",리시트 는 직접 로스팅한 원두를 사용해 진하고 고소한 에스프레소가 인상적인 카페입니다.,"지하털 1,2호선 반월당역 18번 출구에서 도보로 약 248m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
12,1787,대구광역시 중구 남산동 938-9,한식,남산면,053-568-9090,11:00 ~ 21:00,56석(룸4),없음,없음,영어 ,가능,불가능,불가능,가능,"매생이 굴국밥 9,000원<br />칼국수 8,000원<br />매생이 굴전 15,000원<br />수육 14,000원 ~ 28,000원","남산면 은 좋은 건강에 좋은 매생이와 굴을 사용해 요리하는 굴, 매생이 전문 한식당입니다.","지하철 1,2호선 반월당역 20번 출구에서 도보로 약 128m 거리.",버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.
13,1786,대구광역시 중구 봉산동 225-5,디저트/베이커리,카이스샌드위치샵,010-****-3774,08:00 ~ 18:00,33석,없음,instagram.com/kais_sandwichshop,영어 일본어 ,가능,불가능,불가능,불가능,"루벤 샌드위치 16,000원<br />에그인헬 12,000원<br />프렌치 토스트 17,000원<br />아메리카노 4,000원",카이스샌드위치샵 은 항상 좋은 재료와 정성을 가득 담아 음식을 만드는 브런치 카페입니다.,"지하철 1,2호선 반월당역 9번 출구 도보로 약 332m 거리.",버스 정류장은 봉산가구골목(서편) 정류장이 가장 가깝습니다.
